Ward Code,Ward Name,Borough,Population,Working age population,Child population,16-59 population,Old age population,IMD Extent %,IMD Extent Rank,IMD Average rank,IMD average rank rank,IMD average score,IMD average score rank,Rank of worst LSOA,Worst LSOA Code,Worst LSOA: % of resident in ward,Number of LSOAs,# LSOAs in worst 5%,# LSOAs in worst 10%,# LSOAs in worst 20%,# LSOAs in worst 50%,Income scale,Income score,Income rank,Employment scale,Employment score,Employment rank,IDACI scale,IDACI score,IDACI score rank,IDAOPI scale,IDAOPI score,IDAOPI score (rank)
E05000430,Streatham Hill,Lambeth,15522,11012,2755,11034,1733,12%,272,13058.2,275,22.8,278,7016,E01003132,100%,9.00,0.00,0.00,0.00,7.00,2047.7,0.132,320,914.6,0.083,307,464.82,0.169,330,509.51,0.294,174
E05000431,Streatham South,Lambeth,15568,10121,3044,10172,2352,2%,413,14003.5,306,20.9,319,8591,E01003143,100%,9.00,0.00,0.00,0.00,6.00,2069.6,0.133,313,835.5,0.083,314,551.04,0.181,294,480.07,0.204,337
E05000432,Streatham Wells,Lambeth,16221,11360,3007,11310,1904,8%,318,14475.5,317,20.9,316,6636,E01003151,100%,8.00,0.00,0.00,0.00,5.00,2200.2,0.136,300,918.2,0.081,332,630.09,0.210,219,439.20,0.231,287
E05000433,Thornton,Lambeth,13054,8918,2618,8940,1496,12%,278,15308.3,339,20.5,327,5458,E01003159,100%,8.00,0.00,0.00,1.00,5.00,1744.4,0.134,312,683.7,0.077,362,502.03,0.192,264,409.82,0.274,201
E05000434,Thurlow Park,Lambeth,14147,9249,3041,9278,1828,12%,268,13698.8,294,22.3,288,4141,E01003168,100%,7.00,0.00,0.00,1.00,5.00,1879.0,0.133,316,813.0,0.088,272,508.00,0.167,336,406.51,0.222,304
E05000435,Tulse Hill,Lambeth,16199,11158,3323,11285,1591,30%,146,9350.7,149,28.5,152,5531,E01003175,100%,9.00,0.00,0.00,3.00,8.00,3049.8,0.188,115,1176.8,0.105,185,933.97,0.281,64,525.31,0.330,116
E05000436,Vassall,Lambeth,15342,11234,2497,11280,1565,28%,162,9201.6,141,28.7,146,4753,E01003188,100%,9.00,0.00,0.00,4.00,9.00,2878.5,0.188,119,1340.3,0.119,105,695.23,0.278,72,633.20,0.405,47
E05000437,Bellingham,Lewisham,15962,9554,4017,9669,2276,68%,19,5727.9,24,37.1,20,2371,E01003192,100%,9.00,0.00,1.00,7.00,9.00,3643.1,0.228,34,1481.0,0.155,16,1150.32,0.286,52,632.02,0.278,195
E05000438,Blackheath,Lewisham,14721,9941,2648,9978,2095,9%,312,16052.2,357,19.4,351,5441,E01003205,100%,9.00,0.00,0.00,1.00,5.00,1788.7,0.122,358,754.6,0.076,366,464.24,0.175,308,418.32,0.200,351
E05000439,Brockley,Lewisham,18390,13770,2928,13797,1665,11%,286,10829.5,204,25.4,217,5288,E01003207,100%,10.00,0.00,0.00,1.00,10.00,2503.1,0.136,296,1139.3,0.083,311,610.58,0.209,222,530.45,0.319,135
E05000440,Catford South,Lewisham,15819,9850,3341,9993,2485,5%,360,13209.2,281,22.0,296,7242,E01003221,100%,9.00,0.00,0.00,0.00,7.00,2101.5,0.133,314,932.9,0.095,241,594.38,0.178,301,400.48,0.161,423
E05000441,Crofton Park,Lewisham,15629,10446,3200,10414,2015,5%,356,16490.5,363,18.4,368,6878,E01003229,100%,9.00,0.00,0.00,0.00,4.00,1802.5,0.115,381,859.5,0.082,320,438.15,0.137,401,370.67,0.184,380
E05000442,Downham,Lewisham,15664,9247,3849,9361,2454,58%,35,6154.6,33,34.6,39,4245,E01032564,100%,10.00,0.00,0.00,6.00,10.00,3432.5,0.219,46,1321.6,0.143,27,1077.69,0.280,66,685.42,0.279,193
E05000443,Evelyn,Lewisham,18529,12817,4164,12862,1503,38%,102,8299.7,103,30.6,104,3988,E01003246,100%,10.00,0.00,0.00,4.00,10.00,4048.5,0.218,50,1495.4,0.117,114,1352.76,0.325,11,616.33,0.410,44
E05000444,Forest Hill,Lewisham,15978,10334,3554,10323,2101,9%,304,14451.2,316,20.8,321,7446,E01003258,100%,9.00,0.00,0.00,0.00,5.00,2082.7,0.130,328,875.2,0.085,294,617.26,0.174,317,356.26,0.170,403
